Sensor ID,Motherboard ID,Motherboard Name,metric,value,timestamp,unit
23,11,Harry,Button Pressed,SW3,2021-04-12T13:11:43.000Z,-
23,11,Harry,Button Pressed,SW4,2021-04-12T13:14:25.000Z,-
23,11,Harry,Button Pressed,SW2,2021-04-12T13:15:26.000Z,-
23,11,Harry,Button Pressed,SW1,2021-04-12T13:15:28.000Z,-
8,11,Harry,Sound Level,51.97,2021-04-12T13:16:35.000Z,dBa
23,11,Harry,Button Pressed,SW1,2021-04-12T13:17:26.000Z,-
23,11,Harry,Button Pressed,SW3,2021-04-12T13:18:56.000Z,-
23,11,Harry,Button Pressed,SW4,2021-04-12T15:03:10.000Z,-
23,11,Harry,Button Pressed,SW2,2021-04-12T15:03:29.000Z,-
23,11,Harry,Button Pressed,SW1,2021-04-12T15:03:35.000Z,-
23,11,Harry,Button Pressed,SW4,2021-04-12T15:04:37.000Z,-
23,11,Harry,Button Pressed,SW4,2021-04-12T15:06:43.000Z,-
23,11,Harry,Button Pressed,SW4,2021-04-12T15:06:55.000Z,-
57,11,Harry,Light Intensity,3146,2021-04-12T15:10:41.000Z,Lux
57,11,Harry,Battery,4.12,2021-04-12T15:10:41.000Z,V
8,11,Harry,Sound Level,59.29,2021-04-12T15:10:41.000Z,dBa
23,11,Harry,Button Pressed,SW1,2021-04-12T15:11:39.000Z,-
23,11,Harry,Button Pressed,SW2,2021-04-12T15:11:49.000Z,-
23,11,Harry,Button Pressed,SW4,2021-04-12T15:11:59.000Z,-
5,17,Luna,Sound Level,70.61,2021-05-21T13:23:24.000Z,dBa
7,16,Voldemort,Sound Level,90.13,2021-05-28T12:23:08.000Z,dBa
7,16,Voldemort,Sound Level,90.13,2021-05-28T12:23:15.000Z,dBa
52,16,Voldemort,Light Intensity,540,2021-05-28T12:42:36.000Z,Lux
52,16,Voldemort,Battery,3.98,2021-05-28T12:42:36.000Z,V
7,16,Voldemort,Sound Level,67.17,2021-05-28T12:42:36.000Z,dBa
25,16,Voldemort,Button Pressed,SW1,2021-05-28T12:42:36.000Z,-
7,16,Voldemort,Sound Level,98.26,2021-05-28T12:43:22.000Z,dBa
52,16,Voldemort,Light Intensity,748,2021-05-28T12:43:43.000Z,Lux
52,16,Voldemort,Battery,4.12,2021-05-28T12:43:43.000Z,V
52,16,Voldemort,Light Intensity,677,2021-05-28T12:47:00.000Z,Lux
52,16,Voldemort,Battery,4.12,2021-05-28T12:47:00.000Z,V
25,16,Voldemort,Button Pressed,SW2,2021-05-28T12:47:43.000Z,-
25,16,Voldemort,Button Pressed,SW4,2021-05-28T12:48:19.000Z,-
7,16,Voldemort,Sound Level,91.34,2021-05-28T12:49:42.000Z,dBa
25,16,Voldemort,Button Pressed,SW2,2021-05-28T12:49:50.000Z,-
25,16,Voldemort,Button Pressed,SW3,2021-05-28T12:50:20.000Z,-
7,16,Voldemort,Sound Level,90.26,2021-05-28T12:50:49.000Z,dBa
52,16,Voldemort,Light Intensity,1071,2021-05-28T12:51:55.000Z,Lux
52,16,Voldemort,Battery,4.12,2021-05-28T12:51:55.000Z,V
7,16,Voldemort,Sound Level,78.59,2021-05-28T12:53:08.000Z,dBa
