Sensor ID,Motherboard ID,Motherboard Name,metric,value,timestamp,unit
26,35,Joyce,Button Pressed,SW3,2021-02-26T11:55:51.000Z,-
26,35,Joyce,Button Pressed,SW1,2021-02-26T11:56:36.000Z,-
9,35,Joyce,Sound Level,52.71,2021-03-08T16:55:43.000Z,dBa
9,35,Joyce,Sound Level,68.5,2021-03-08T17:00:49.000Z,dBa
9,35,Joyce,Sound Level,53.72,2021-03-08T17:05:54.000Z,dBa
9,35,Joyce,Sound Level,90.86,2021-03-10T12:18:54.000Z,dBa
29,38,Jim,Sound Level,91.39,2021-03-10T12:19:03.000Z,dBa
29,38,Jim,Sound Level,93.45,2021-03-10T12:20:25.000Z,dBa
9,35,Joyce,Sound Level,95.08,2021-03-10T12:20:29.000Z,dBa
29,38,Jim,Sound Level,70.7,2021-03-10T12:21:48.000Z,dBa
9,35,Joyce,Sound Level,90.63,2021-03-10T12:21:57.000Z,dBa
29,38,Jim,Sound Level,91.74,2021-03-10T12:22:18.000Z,dBa
29,38,Jim,Sound Level,92.37,2021-03-10T12:24:09.000Z,dBa
9,35,Joyce,Sound Level,92.06,2021-03-10T12:24:27.000Z,dBa
9,35,Joyce,Sound Level,90.23,2021-03-10T12:25:18.000Z,dBa
29,38,Jim,Sound Level,90.06,2021-03-10T12:25:42.000Z,dBa
9,35,Joyce,Sound Level,92.48,2021-03-10T12:26:49.000Z,dBa
29,38,Jim,Sound Level,92.14,2021-03-10T12:27:17.000Z,dBa
9,35,Joyce,Sound Level,59.29,2021-03-10T12:30:52.000Z,dBa
29,38,Jim,Sound Level,76.76,2021-03-10T12:31:00.000Z,dBa
29,38,Jim,Sound Level,92.58,2021-03-10T12:31:07.000Z,dBa
29,38,Jim,Sound Level,92.85,2021-03-10T12:33:42.000Z,dBa
29,38,Jim,Sound Level,77.87,2021-03-10T12:36:00.000Z,dBa
9,35,Joyce,Sound Level,72.01,2021-03-10T12:36:01.000Z,dBa
9,35,Joyce,Sound Level,92.38,2021-03-10T12:36:42.000Z,dBa
29,38,Jim,Sound Level,90.29,2021-03-10T12:36:59.000Z,dBa
29,38,Jim,Sound Level,71.77,2021-03-10T12:39:01.000Z,dBa
29,38,Jim,Sound Level,76.78,2021-03-10T12:44:01.000Z,dBa
29,38,Jim,Sound Level,67.11,2021-03-10T12:49:01.000Z,dBa
29,38,Jim,Sound Level,71.7,2021-03-10T12:54:01.000Z,dBa
29,38,Jim,Sound Level,93.37,2021-03-10T12:55:55.000Z,dBa
29,38,Jim,Sound Level,86.78,2021-03-10T12:59:01.000Z,dBa
29,38,Jim,Sound Level,66.62,2021-03-10T13:05:00.000Z,dBa
29,38,Jim,Sound Level,67.52,2021-03-10T13:10:00.000Z,dBa
29,38,Jim,Sound Level,66.88,2021-03-10T13:15:00.000Z,dBa
29,38,Jim,Sound Level,76.02,2021-03-10T13:20:00.000Z,dBa
29,38,Jim,Sound Level,70.78,2021-03-10T13:25:00.000Z,dBa
29,38,Jim,Sound Level,72.33,2021-03-10T13:30:00.000Z,dBa
9,35,Joyce,Sound Level,61.22,2021-03-10T13:32:54.000Z,dBa
29,38,Jim,Sound Level,68.87,2021-03-10T13:36:00.000Z,dBa
9,35,Joyce,Sound Level,60.04,2021-03-10T13:38:04.000Z,dBa
29,38,Jim,Sound Level,68.72,2021-03-10T13:41:00.000Z,dBa
9,35,Joyce,Sound Level,62.73,2021-03-10T13:43:15.000Z,dBa
29,38,Jim,Sound Level,61.7,2021-03-10T13:46:00.000Z,dBa
9,35,Joyce,Sound Level,55.75,2021-03-10T13:48:25.000Z,dBa
29,38,Jim,Sound Level,72.46,2021-03-10T13:51:00.000Z,dBa
29,38,Jim,Sound Level,70.21,2021-03-10T13:56:00.000Z,dBa
29,38,Jim,Sound Level,72.87,2021-03-10T14:01:00.000Z,dBa
29,38,Jim,Sound Level,70.58,2021-03-10T14:07:04.000Z,dBa
29,38,Jim,Sound Level,67.66,2021-03-10T14:12:04.000Z,dBa
29,38,Jim,Sound Level,64.33,2021-03-10T14:17:04.000Z,dBa
29,38,Jim,Sound Level,68.75,2021-03-10T14:22:04.000Z,dBa
29,38,Jim,Sound Level,71.92,2021-03-10T14:27:04.000Z,dBa
29,38,Jim,Sound Level,64.48,2021-03-10T14:32:04.000Z,dBa
29,38,Jim,Sound Level,69.39,2021-03-10T14:38:09.000Z,dBa
29,38,Jim,Sound Level,74.91,2021-03-10T14:43:09.000Z,dBa
9,35,Joyce,Sound Level,59.79,2021-03-10T14:45:19.000Z,dBa
29,38,Jim,Sound Level,66.71,2021-03-10T14:48:09.000Z,dBa
29,38,Jim,Sound Level,61.01,2021-03-10T14:53:09.000Z,dBa
9,35,Joyce,Sound Level,58.56,2021-03-10T14:55:39.000Z,dBa
29,38,Jim,Sound Level,67.38,2021-03-10T14:58:09.000Z,dBa
29,38,Jim,Sound Level,68.67,2021-03-10T15:03:09.000Z,dBa
29,38,Jim,Sound Level,61.04,2021-03-10T15:09:15.000Z,dBa
9,35,Joyce,Sound Level,60.26,2021-03-10T15:11:10.000Z,dBa
29,38,Jim,Sound Level,82.86,2021-03-10T15:14:15.000Z,dBa
9,35,Joyce,Sound Level,59.71,2021-03-10T15:16:20.000Z,dBa
29,38,Jim,Sound Level,60.73,2021-03-10T15:19:15.000Z,dBa
29,38,Jim,Sound Level,62.16,2021-03-10T15:24:15.000Z,dBa
9,35,Joyce,Sound Level,57.2,2021-03-10T15:26:41.000Z,dBa
29,38,Jim,Sound Level,71.53,2021-03-10T15:29:15.000Z,dBa
29,38,Jim,Sound Level,66.34,2021-03-10T15:34:15.000Z,dBa
29,38,Jim,Sound Level,90.13,2021-03-10T15:40:00.000Z,dBa
29,38,Jim,Sound Level,67.47,2021-03-10T15:40:21.000Z,dBa
29,38,Jim,Sound Level,90.51,2021-03-10T15:43:35.000Z,dBa
29,38,Jim,Sound Level,62.94,2021-03-10T15:45:21.000Z,dBa
29,38,Jim,Sound Level,63.28,2021-03-10T15:50:21.000Z,dBa
29,38,Jim,Sound Level,63.45,2021-03-10T15:55:21.000Z,dBa
29,38,Jim,Sound Level,60.61,2021-03-10T16:01:10.000Z,dBa
29,38,Jim,Sound Level,63.08,2021-03-10T16:06:10.000Z,dBa
29,38,Jim,Sound Level,70.92,2021-03-10T16:11:10.000Z,dBa
29,38,Jim,Sound Level,67.26,2021-03-10T16:16:10.000Z,dBa
9,35,Joyce,Sound Level,56.99,2021-03-10T16:18:23.000Z,dBa
29,38,Jim,Sound Level,75.87,2021-03-10T16:21:10.000Z,dBa
29,38,Jim,Sound Level,64.26,2021-03-10T16:26:10.000Z,dBa
29,38,Jim,Sound Level,63.69,2021-03-10T16:32:21.000Z,dBa
9,35,Joyce,Sound Level,58.37,2021-03-10T16:33:54.000Z,dBa
29,38,Jim,Sound Level,64.56,2021-03-10T16:37:21.000Z,dBa
29,38,Jim,Sound Level,65.62,2021-03-10T16:42:21.000Z,dBa
29,38,Jim,Sound Level,63.71,2021-03-10T16:47:21.000Z,dBa
29,38,Jim,Sound Level,63.83,2021-03-10T16:52:21.000Z,dBa
29,38,Jim,Sound Level,65.88,2021-03-10T16:57:21.000Z,dBa
9,35,Joyce,Sound Level,57.96,2021-03-10T16:59:45.000Z,dBa
29,38,Jim,Sound Level,71.71,2021-03-10T17:03:33.000Z,dBa
29,38,Jim,Sound Level,65.66,2021-03-10T17:08:33.000Z,dBa
29,38,Jim,Sound Level,70.32,2021-03-10T17:13:33.000Z,dBa
29,38,Jim,Sound Level,64.33,2021-03-10T17:18:33.000Z,dBa
29,38,Jim,Sound Level,63.75,2021-03-10T17:23:33.000Z,dBa
9,35,Joyce,Sound Level,59.4,2021-03-10T17:25:36.000Z,dBa
29,38,Jim,Sound Level,62.81,2021-03-10T17:28:33.000Z,dBa
29,38,Jim,Sound Level,68.26,2021-03-10T17:30:32.000Z,dBa
29,38,Jim,Sound Level,68,2021-03-10T17:35:32.000Z,dBa
